district_name,num_transactions,transaction_amount_rupees,year,state_name,quarter
north and middle andaman district,60059,161624878.52274162,2022,andaman-&-nicobar-islands,1
south andaman district,705512,1872991195.902684,2022,andaman-&-nicobar-islands,1
nicobars district,29177,94414127.64974089,2022,andaman-&-nicobar-islands,1
north and middle andaman district,72573,195693167.78757268,2022,andaman-&-nicobar-islands,2
south andaman district,954875,2357326563.362071,2022,andaman-&-nicobar-islands,2
nicobars district,43769,132900618.93062323,2022,andaman-&-nicobar-islands,2
north and middle andaman district,79574,211581970.34202656,2022,andaman-&-nicobar-islands,3
south andaman district,1455255,2967719400.849909,2022,andaman-&-nicobar-islands,3
nicobars district,49550,131330400.94545083,2022,andaman-&-nicobar-islands,3
north and middle andaman district,93297,241431284.3558103,2022,andaman-&-nicobar-islands,4
south andaman district,1835592,3600887266.099448,2022,andaman-&-nicobar-islands,4
nicobars district,58646,142355853.97352526,2022,andaman-&-nicobar-islands,4
north and middle andaman district,266400,601756070.0,2024,andaman-&-nicobar-islands,1
south andaman district,3751724,5952049462.0,2024,andaman-&-nicobar-islands,1
nicobars district,166796,305346303.0,2024,andaman-&-nicobar-islands,1
north and middle andaman district,313301,676844858.0,2024,andaman-&-nicobar-islands,2
south andaman district,4153251,6285248054.0,2024,andaman-&-nicobar-islands,2
nicobars district,186672,333687418.0,2024,andaman-&-nicobar-islands,2
north and middle andaman district,152187,392080332.0,2023,andaman-&-nicobar-islands,1
south andaman district,2030078,3867385426.0,2023,andaman-&-nicobar-islands,1
nicobars district,94127,202062829.0,2023,andaman-&-nicobar-islands,1
north and middle andaman district,181149,462414675.0,2023,andaman-&-nicobar-islands,2
south andaman district,2417058,4297737197.0,2023,andaman-&-nicobar-islands,2
nicobars district,109568,230192364.0,2023,andaman-&-nicobar-islands,2
north and middle andaman district,198547,495623030.0,2023,andaman-&-nicobar-islands,3
south andaman district,2771397,4462201588.0,2023,andaman-&-nicobar-islands,3
nicobars district,128432,253772173.0,2023,andaman-&-nicobar-islands,3
north and middle andaman district,230234,540759631.0,2023,andaman-&-nicobar-islands,4
south andaman district,3311962,5417264997.0,2023,andaman-&-nicobar-islands,4
nicobars district,153587,311527871.0,2023,andaman-&-nicobar-islands,4
north and middle andaman district,3264,9561708.736298349,2019,andaman-&-nicobar-islands,1
south andaman district,25683,85501972.38780196,2019,andaman-&-nicobar-islands,1
nicobars district,1539,7236059.549389593,2019,andaman-&-nicobar-islands,1
north and middle andaman district,3371,8612103.137888122,2019,andaman-&-nicobar-islands,2
south andaman district,28490,102530955.71341258,2019,andaman-&-nicobar-islands,2
nicobars district,1828,9111650.82436246,2019,andaman-&-nicobar-islands,2
north and middle andaman district,4049,11481466.283356793,2019,andaman-&-nicobar-islands,3
south andaman district,27421,91023888.32848613,2019,andaman-&-nicobar-islands,3
nicobars district,2300,11566421.475451011,2019,andaman-&-nicobar-islands,3
north and middle andaman district,4716,13524056.784573946,2019,andaman-&-nicobar-islands,4
south andaman district,27843,110930312.20611623,2019,andaman-&-nicobar-islands,4
nicobars district,2600,12384161.52668771,2019,andaman-&-nicobar-islands,4
north and middle andaman district,27358,75027255.27919498,2021,andaman-&-nicobar-islands,1
south andaman district,207092,669604045.1248703,2021,andaman-&-nicobar-islands,1
nicobars district,10302,39075266.9856904,2021,andaman-&-nicobar-islands,1
north and middle andaman district,39200,90233388.79463302,2021,andaman-&-nicobar-islands,2
south andaman district,286907,760893020.5704944,2021,andaman-&-nicobar-islands,2
nicobars district,15307,48020606.74716837,2021,andaman-&-nicobar-islands,2
north and middle andaman district,46592,118254865.82750683,2021,andaman-&-nicobar-islands,3
south andaman district,382418,1116789010.6459613,2021,andaman-&-nicobar-islands,3
nicobars district,20754,74980519.3281361,2021,andaman-&-nicobar-islands,3
north and middle andaman district,53115,156486112.28732437,2021,andaman-&-nicobar-islands,4
south andaman district,558571,1694794708.0093334,2021,andaman-&-nicobar-islands,4
