district_name,num_registered_users,num_app_opens,year,state_name,quarter
north and middle andaman district,10720,904869,2022,andaman-&-nicobar-islands,1
south andaman district,63487,2368756,2022,andaman-&-nicobar-islands,1
nicobars district,2081,573782,2022,andaman-&-nicobar-islands,1
north and middle andaman district,11379,963824,2022,andaman-&-nicobar-islands,2
south andaman district,66959,3404740,2022,andaman-&-nicobar-islands,2
nicobars district,2192,811449,2022,andaman-&-nicobar-islands,2
north and middle andaman district,11897,1176567,2022,andaman-&-nicobar-islands,3
south andaman district,70445,3607286,2022,andaman-&-nicobar-islands,3
nicobars district,2300,1284501,2022,andaman-&-nicobar-islands,3
north and middle andaman district,12361,313502,2022,andaman-&-nicobar-islands,4
south andaman district,73692,3881359,2022,andaman-&-nicobar-islands,4
nicobars district,2389,159232,2022,andaman-&-nicobar-islands,4
north and middle andaman district,15539,9022450,2024,andaman-&-nicobar-islands,1
south andaman district,89907,12147903,2024,andaman-&-nicobar-islands,1
nicobars district,2965,7368398,2024,andaman-&-nicobar-islands,1
north and middle andaman district,16183,6159746,2024,andaman-&-nicobar-islands,2
south andaman district,93421,6749599,2024,andaman-&-nicobar-islands,2
nicobars district,3083,3967538,2024,andaman-&-nicobar-islands,2
north and middle andaman district,12941,3103047,2023,andaman-&-nicobar-islands,1
south andaman district,77052,5450795,2023,andaman-&-nicobar-islands,1
nicobars district,2491,2458822,2023,andaman-&-nicobar-islands,1
north and middle andaman district,13600,3174229,2023,andaman-&-nicobar-islands,2
south andaman district,80112,6884657,2023,andaman-&-nicobar-islands,2
nicobars district,2617,4679790,2023,andaman-&-nicobar-islands,2
north and middle andaman district,14216,7130284,2023,andaman-&-nicobar-islands,3
south andaman district,83305,5950899,2023,andaman-&-nicobar-islands,3
nicobars district,2734,7463896,2023,andaman-&-nicobar-islands,3
north and middle andaman district,14813,1869462,2023,andaman-&-nicobar-islands,4
south andaman district,86348,7452861,2023,andaman-&-nicobar-islands,4
nicobars district,2817,523637,2023,andaman-&-nicobar-islands,4
north and middle andaman district,2013,0,2019,andaman-&-nicobar-islands,1
south andaman district,15961,0,2019,andaman-&-nicobar-islands,1
nicobars district,622,0,2019,andaman-&-nicobar-islands,1
north and middle andaman district,2417,6118,2019,andaman-&-nicobar-islands,2
south andaman district,18621,43569,2019,andaman-&-nicobar-islands,2
nicobars district,693,2953,2019,andaman-&-nicobar-islands,2
north and middle andaman district,2662,22064,2019,andaman-&-nicobar-islands,3
south andaman district,20518,138190,2019,andaman-&-nicobar-islands,3
nicobars district,751,10853,2019,andaman-&-nicobar-islands,3
north and middle andaman district,2955,26253,2019,andaman-&-nicobar-islands,4
south andaman district,22202,139646,2019,andaman-&-nicobar-islands,4
nicobars district,803,11113,2019,andaman-&-nicobar-islands,4
north and middle andaman district,7833,121680,2021,andaman-&-nicobar-islands,1
south andaman district,48352,837589,2021,andaman-&-nicobar-islands,1
nicobars district,1573,45067,2021,andaman-&-nicobar-islands,1
north and middle andaman district,8493,596182,2021,andaman-&-nicobar-islands,2
south andaman district,51903,1270226,2021,andaman-&-nicobar-islands,2
nicobars district,1699,381815,2021,andaman-&-nicobar-islands,2
north and middle andaman district,9263,759314,2021,andaman-&-nicobar-islands,3
south andaman district,55873,1771107,2021,andaman-&-nicobar-islands,3
nicobars district,1846,591204,2021,andaman-&-nicobar-islands,3
north and middle andaman district,10002,171921,2021,andaman-&-nicobar-islands,4
south andaman district,59807,1863037,2021,andaman-&-nicobar-islands,4
